,ulsd
2023-08-04,3.0622000694274902
2023-08-07,3.015500068664551
2023-08-08,3.085599899291992
2023-08-09,3.2070000171661377
2023-08-10,3.1533000469207764
2023-08-11,3.121500015258789
2023-08-14,3.0882999897003174
2023-08-15,3.0280001163482666
2023-08-16,3.020900011062622
2023-08-17,3.0938000679016113
2023-08-18,3.1596999168395996
2023-08-21,3.1161999702453613
2023-08-22,3.1387999057769775
2023-08-23,3.1291000843048096
2023-08-24,3.156399965286255
2023-08-25,3.307499885559082
2023-08-28,3.203700065612793
2023-08-29,3.2095000743865967
2023-08-30,3.0961999893188477
2023-08-31,3.1426000595092773
2023-09-01,3.1050000190734863
2023-09-05,3.219599962234497
2023-09-06,3.192699909210205
2023-09-07,3.2123000621795654
2023-09-08,3.299099922180176
2023-09-11,3.3622000217437744
2023-09-12,3.3282999992370605
2023-09-13,3.4354000091552734
2023-09-14,3.4814999103546143
2023-09-15,3.3833999633789062
2023-09-18,3.288300037384033
2023-09-19,3.3738999366760254
2023-09-20,3.3268001079559326
2023-09-21,3.368000030517578
2023-09-22,3.3062000274658203
2023-09-25,3.262200117111206
2023-09-26,3.22379994392395
2023-09-27,3.31469988822937
2023-09-28,3.318000078201294
2023-09-29,3.3622000217437744
2023-10-02,3.2225000858306885
2023-10-03,3.1953999996185303
2023-10-04,3.0178000926971436
2023-10-05,2.8687000274658203
2023-10-06,2.9007999897003174
2023-10-09,2.966599941253662
2023-10-10,3.0201001167297363
2023-10-11,2.998500108718872
2023-10-12,3.0448999404907227
2023-10-13,3.211699962615967
2023-10-16,3.149199962615967
2023-10-17,3.1767001152038574
2023-10-18,3.1393001079559326
2023-10-19,3.1730000972747803
2023-10-20,3.156599998474121
2023-10-23,3.0954999923706055
2023-10-24,3.0448999404907227
2023-10-25,3.0304999351501465
2023-10-26,3.0439000129699707
2023-10-27,3.0518999099731445
2023-10-30,2.9663000106811523
2023-10-31,2.990999937057495
2023-11-01,2.9614999294281006
2023-11-02,3.0255000591278076
2023-11-03,2.923799991607666
2023-11-06,2.952399969100952
2023-11-07,2.838399887084961
2023-11-08,2.7492001056671143
2023-11-09,2.719099998474121
2023-11-10,2.7430999279022217
2023-11-13,2.8392999172210693
2023-11-14,2.837100028991699
2023-11-15,2.8687000274658203
2023-11-16,2.750200033187866
2023-11-17,2.7725000381469727
2023-11-20,2.8494999408721924
2023-11-21,2.9249000549316406
2023-11-22,2.8891000747680664
2023-11-23,2.8712000846862793
2023-11-24,2.835700035095215
2023-11-27,2.837899923324585
2023-11-28,2.9070000648498535
2023-11-29,2.8884999752044678
2023-11-30,2.8304998874664307
2023-12-01,2.6614999771118164
2023-12-04,2.6596999168395996
2023-12-05,2.6410999298095703
2023-12-06,2.576200008392334
2023-12-07,2.5492000579833984
2023-12-08,2.5810000896453857
2023-12-11,2.6087000370025635
2023-12-12,2.5074000358581543
2023-12-13,2.548099994659424
2023-12-14,2.5913000106811523
2023-12-15,2.620800018310547
2023-12-18,2.672800064086914
2023-12-19,2.7167999744415283
2023-12-20,2.7084999084472656
2023-12-21,2.6967999935150146
2023-12-22,2.6612000465393066
2023-12-26,2.668800115585327
2023-12-27,2.6238999366760254
2023-12-28,2.556299924850464
2023-12-29,2.553100109100342
2024-01-02,2.5257999897003174
2024-01-03,2.6043999195098877
2024-01-04,2.588399887084961
2024-01-05,2.6085000038146973
2024-01-08,2.576900005340576
2024-01-09,2.650399923324585
2024-01-10,2.600600004196167
2024-01-11,2.673799991607666
2024-01-12,2.669300079345703
2024-01-16,2.660599946975708
2024-01-17,2.653599977493286
2024-01-18,2.6935999393463135
2024-01-19,2.662100076675415
2024-01-22,2.69350004196167
2024-01-23,2.6912999153137207
2024-01-24,2.68179988861084
2024-01-25,2.7953999042510986
2024-01-26,2.843400001525879
2024-01-29,2.833899974822998
2024-01-30,2.80679988861084
2024-01-31,2.808199882507324
2024-02-01,2.712899923324585
2024-02-02,2.6600000858306885
2024-02-05,2.7248001098632812
2024-02-06,2.7427000999450684
2024-02-07,2.815200090408325
2024-02-08,2.8907999992370605
2024-02-09,2.964200019836426
2024-02-12,2.919600009918213
2024-02-13,2.895900011062622
2024-02-14,2.8101000785827637
2024-02-15,2.823699951171875
2024-02-16,2.8066000938415527
2024-02-20,2.7314999103546143
2024-02-21,2.705199956893921
2024-02-22,2.752000093460083
2024-02-23,2.68969988822937
2024-02-26,2.762700080871582
2024-02-27,2.746000051498413
2024-02-28,2.6582999229431152
2024-02-29,2.683799982070923
2024-03-01,2.704200029373169
2024-03-04,2.647200107574463
2024-03-05,2.6064999103546143
2024-03-06,2.663300037384033
2024-03-07,2.694700002670288
2024-03-08,2.640899896621704
2024-03-11,2.6517999172210693
2024-03-12,2.616499900817871
2024-03-13,2.6851000785827637
2024-03-14,2.7088000774383545
2024-03-15,2.7269999980926514
2024-03-18,2.7881999015808105
2024-03-19,2.760699987411499
2024-03-20,2.69569993019104
2024-03-21,2.668800115585327
2024-03-22,2.65339994430542
2024-03-25,2.6786000728607178
2024-03-26,2.621799945831299
2024-03-27,2.598599910736084
2024-03-28,2.615600109100342
2024-04-01,2.6270999908447266
2024-04-02,2.711899995803833
2024-04-03,2.7323999404907227
2024-04-04,2.741300106048584
2024-04-05,2.7730000019073486
2024-04-08,2.7286999225616455
2024-04-09,2.677000045776367
2024-04-10,2.7076001167297363
2024-04-11,2.6598000526428223
2024-04-12,2.6851000785827637
2024-04-15,2.6542000770568848
2024-04-16,2.6512999534606934
2024-04-17,2.574700117111206
2024-04-18,2.533900022506714
2024-04-19,2.541300058364868
2024-04-22,2.5604000091552734
2024-04-23,2.579200029373169
2024-04-24,2.5499000549316406
2024-04-25,2.5504000186920166
2024-04-26,2.5481998920440674
2024-04-29,2.5313000679016113
2024-04-30,2.513400077819824
2024-05-01,2.451900005340576
2024-05-02,2.4430999755859375
2024-05-03,2.4433999061584473
2024-05-06,2.461400032043457
2024-05-07,2.46560001373291
2024-05-08,2.476099967956543
2024-05-09,2.47760009765625
2024-05-10,2.4344000816345215
2024-05-13,2.436800003051758
2024-05-14,2.4200000762939453
2024-05-15,2.423099994659424
2024-05-16,2.443700075149536
2024-05-17,2.486299991607666
2024-05-20,2.4870998859405518
2024-05-21,2.4623000621795654
2024-05-22,2.43179988861084
2024-05-23,2.411799907684326
2024-05-24,2.413599967956543
2024-05-28,2.4649999141693115
2024-05-29,2.437000036239624
2024-05-30,2.3694000244140625
2024-05-31,2.363600015640259
2024-06-03,2.2962000370025635
2024-06-04,2.285900115966797
2024-06-05,2.301100015640259
2024-06-06,2.357599973678589
2024-06-07,2.3517000675201416
2024-06-10,2.4147000312805176
2024-06-11,2.421299934387207
2024-06-12,2.4407999515533447
2024-06-13,2.486799955368042
2024-06-14,2.470599889755249
2024-06-17,2.4825000762939453
2024-06-18,2.5208001136779785
2024-06-20,2.5244998931884766
2024-06-21,2.491499900817871
2024-06-24,2.521399974822998
2024-06-25,2.509399890899658
2024-06-26,2.5374999046325684
2024-06-27,2.547600030899048
2024-06-28,2.516900062561035
2024-07-01,2.6147000789642334
2024-07-02,2.629699945449829
2024-07-03,2.6342999935150146
2024-07-05,2.602400064468384
2024-07-08,2.5790998935699463
2024-07-09,2.5236001014709473
2024-07-10,2.518399953842163
2024-07-11,2.518199920654297
2024-07-12,2.5095999240875244
2024-07-15,2.5136001110076904
2024-07-16,2.4688000679016113
2024-07-17,2.49399995803833
2024-07-18,2.486799955368042
2024-07-19,2.419100046157837
2024-07-22,2.434799909591675
2024-07-23,2.409899950027466
2024-07-24,2.452399969100952
2024-07-25,2.4711999893188477
2024-07-26,2.4196999073028564
2024-07-29,2.375
2024-07-30,2.3368000984191895
2024-07-31,2.4154999256134033
2024-08-01,2.406399965286255
2024-08-02,2.31850004196167
2024-08-05,2.2985999584198
2024-08-06,2.295799970626831
2024-08-07,2.355600118637085
2024-08-08,2.357800006866455
2024-08-09,2.3396999835968018
2024-08-12,2.4065001010894775
2024-08-13,2.38919997215271
2024-08-14,2.3682000637054443
2024-08-15,2.3778998851776123
2024-08-16,2.328700065612793
2024-08-19,2.2634999752044678
2024-08-20,2.263200044631958
2024-08-21,2.2497000694274902
2024-08-22,2.2634999752044678
2024-08-23,2.2997000217437744
2024-08-26,2.3480000495910645
2024-08-27,2.2862000465393066
2024-08-28,2.229099988937378
2024-08-29,2.2839999198913574
2024-08-30,2.251499891281128
2024-09-03,2.2060000896453857
2024-09-04,2.1575000286102295
2024-09-05,2.1689000129699707
2024-09-06,2.115000009536743
2024-09-09,2.139400005340576
2024-09-10,2.058000087738037
2024-09-11,2.0917000770568848
2024-09-12,2.118799924850464
2024-09-13,2.0843000411987305
2024-09-16,2.0968000888824463
2024-09-17,2.136699914932251
2024-09-18,2.1475000381469727
2024-09-19,2.171999931335449
2024-09-20,2.1614999771118164
2024-09-23,2.1451001167297363
2024-09-24,2.180500030517578
2024-09-25,2.1602001190185547
2024-09-26,2.1361000537872314
2024-09-27,2.132699966430664
2024-09-30,2.1317999362945557
2024-10-01,2.1742000579833984
2024-10-02,2.1821000576019287
2024-10-03,2.2946999073028564
2024-10-04,2.312700033187866
2024-10-07,2.396199941635132
2024-10-08,2.2971999645233154
2024-10-09,2.276900053024292
2024-10-10,2.3508999347686768
2024-10-11,2.343899965286255
2024-10-14,2.274199962615967
2024-10-15,2.187700033187866
2024-10-16,2.1747000217437744
2024-10-17,2.194499969482422
2024-10-18,2.1521999835968018
2024-10-21,2.183300018310547
2024-10-22,2.236999988555908
2024-10-23,2.22160005569458
2024-10-24,2.2023000717163086
2024-10-25,2.238100051879883
2024-10-28,2.1285998821258545
2024-10-29,2.133699893951416
2024-10-30,2.1875998973846436
2024-10-31,2.2195000648498535
2024-11-01,2.2342000007629395
2024-11-04,2.28410005569458
2024-11-05,2.3041999340057373
2024-11-06,2.2699999809265137
2024-11-07,2.286400079727173
2024-11-08,2.2388999462127686
2024-11-11,2.1975998878479004
